division,edu,female,inc,rural,Polio.a,Polio.b,Polio.c,Polio.d,Polio.e,FCR.a,FCR.b,FCR.c,FCR.d,FCR.e,Durand.a,Durand.b,Durand.c,Durand.d,Durand.e,Curriculum.a,Curriculum.b,Curriculum.c,Curriculum.d,Curriculum.e
16,4,1,2,1,2,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
16,5,1,1,0,2,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
16,5,0,3,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
16,2,1,1,1,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3
16,1,1,3,1,2,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA
16,3,0,3,1,4,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA
16,2,0,2,1,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA
16,5,1,3,0,3,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
16,5,0,3,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA
16,1,1,3,1,3,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA
16,1,1,3,1,2,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA
16,5,0,1,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
16,5,1,3,1,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
16,4,1,2,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
16,3,1,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,5,NA,NA
16,4,0,3,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
16,1,1,3,1,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA
16,1,0,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA
16,4,1,3,1,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2
16,5,1,3,1,2,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA
16,4,1,3,1,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA
16,3,1,3,1,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA
16,1,0,1,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
16,4,0,2,1,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA
16,3,1,2,1,3,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA
16,5,1,3,1,3,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA
16,3,1,2,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
16,2,0,2,1,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA
16,1,0,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
16,5,0,2,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA
16,2,1,2,0,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,3,NA
16,5,0,3,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
16,4,1,3,1,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA
16,1,1,2,0,2,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
16,3,0,2,1,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA
16,3,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,4,1,3,1,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4
7,5,1,2,1,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,2,NA,NA,NA
7,1,1,2,1,5,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA
7,2,0,1,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
7,2,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA
7,5,0,3,1,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA
7,3,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,1,0,2,1,5,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,2,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,2,0,2,1,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA
7,1,0,1,1,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA
7,1,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,2,0,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,3,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,3,0,2,1,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA
7,3,0,2,1,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4
7,3,0,3,1,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA
7,4,0,2,1,3,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,3,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,2,0,2,1,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA
7,4,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,1,0,2,1,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA
7,4,0,1,1,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4
7,2,1,2,0,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
7,1,1,2,0,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,4,NA,NA
7,5,1,3,0,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA
7,5,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,2,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,1,0,2,1,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5
7,4,1,2,0,5,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
7,5,1,2,0,5,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA
7,2,1,3,0,5,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA
7,2,1,2,0,5,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA
7,2,0,1,1,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5
7,4,0,2,1,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA
7,4,0,1,1,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5
7,1,0,2,1,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA
7,2,0,2,1,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5
7,5,0,1,1,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA
7,4,0,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA
7,4,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,2,0,2,1,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,5,1,3,0,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2
7,1,0,1,1,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,4,NA
7,1,0,2,1,5,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
7,5,1,2,0,5,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA
7,4,1,2,0,5,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA
7,5,1,3,0,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA
7,4,0,3,1,5,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
1,4,1,3,1,5,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA
1,4,0,1,1,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA
1,1,1,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
1,1,1,2,1,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA
1,3,0,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA
1,1,0,2,1,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4
1,1,1,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
1,1,1,1,1,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5
1,1,1,3,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
1,3,1,2,1,5,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA
1,1,1,2,1,NA,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1
1,3,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA
1,1,1,1,1,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4
1,1,1,1,1,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA
1,3,0,2,1,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,4,NA,NA
1,3,1,1,1,NA,NA,NA,5,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA
1,2,0,2,1,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,NA
1,2,0,2,1,NA,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA
1,4,0,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA
1,1,0,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
1,3,0,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA
1,1,1,2,1,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA
1,1,1,2,1,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5
1,1,1,1,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
1,5,1,2,0,4,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
1,3,1,2,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
1,4,1,2,1,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA
1,5,1,1,1,4,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
1,5,1,2,1,4,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA
1,5,1,2,1,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA
1,2,1,2,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA
1,1,1,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5
1,5,1,3,1,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA
1,2,1,2,1,4,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA
1,2,1,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,5,NA,NA
1,3,0,2,1,NA,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4
1,2,0,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA
1,3,0,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
1,2,1,1,1,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA
1,5,1,1,1,5,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
1,5,1,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,3,NA,NA,NA
1,3,0,3,1,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4
1,4,0,1,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
1,1,0,2,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
1,1,1,2,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
1,1,1,2,1,NA,NA,4,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,5,NA
1,1,0,3,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
1,3,0,2,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
1,1,0,3,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
1,3,0,3,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA
1,1,0,3,1,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA
1,4,0,3,1,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA
1,1,1,1,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
1,1,0,1,0,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2
1,2,0,1,0,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA
1,4,0,2,0,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA
1,3,1,1,1,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1
1,1,1,2,1,5,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA
1,4,1,2,1,5,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA
1,4,1,3,1,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
1,5,1,3,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
1,1,1,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,5,NA,NA
1,1,1,1,1,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA
1,1,1,1,1,5,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA
1,1,1,2,1,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,5,NA
